schluessel;kurzform;anzeigeform;langform
28332379;MSMH;Maßschuhmacher/in (ohne FR-Angabe);Maßschuhmacher/in (ohne FR-Angabe)
92112010-DS;KKMKDS;Kaufmann/Kauffrau für Marketingkommunikation + dua;Kaufmann/Kauffrau für Marketingkommunikation + duales Studium
63112010;KTFITH;Kaufmann/Kauffrau für Tourismus und Freizeit;Kaufmann/Kauffrau für Tourismus und Freizeit
33222310;SKHAB;Stuckateur/in Handwerk;Stuckateur/in Handwerk
25232043;FMTIMF;Fluggerätmechaniker/in FR Triebwerkstechnik;Fluggerätmechaniker/in FR Triebwerkstechnik
93422003;MPM;Manufakturporzellanmaler/Manufakturporzellanmaleri;Manufakturporzellanmaler/Manufakturporzellanmalerin
26223330-DS;EMADSHME;Elektroniker/in für Maschinen- und Antriebstechnik;Elektroniker/in für Maschinen- und Antriebstechnik + duales Studium Handwerk
29222008;KOD;Konditor/Konditorin;Konditor/Konditorin
43232320-DS;KITSMDS;Kaufmann/Kauffrau für IT-System-Management + duale;Kaufmann/Kauffrau für IT-System-Management + duales Studium
62312341-BK;FPLBHVB;Fachpraktiker/in für Fachverkauf im Lebensmittelha;Fachpraktiker/in für Fachverkauf im Lebensmittelhandwerk (§42r HwO) SP Bäckerei
25212004;KFZB;Kraftfahrzeugbearbeiter/Kraftfahrzeugbearbeiterin;Kraftfahrzeugbearbeiter/Kraftfahrzeugbearbeiterin
93542001-AP;SLhA;Schilder- und Lichtreklamehersteller/Schilder- und;Schilder- und Lichtreklamehersteller/Schilder- und Lichtreklameherstellerin - Schwerpunkt Applikation
21342332-GV;GVGHRK;Glasveredler/in FR Gravur Handwerk;Glasveredler/in FR Gravur Handwerk
51312330;FLGHVL;Fachlagerist/in Handwerk;Fachlagerist/in Handwerk
24522389;PWMH;Präzisionswerkzeugmechaniker/in (ohne FR-Angabe) H;Präzisionswerkzeugmechaniker/in (ohne FR-Angabe) Handwerk
61122001-BP;MDP-BP;Mediengestalter Digital und Print/Mediengestalteri;Mediengestalter Digital und Print/Mediengestalterin Digital und Print - Fachrichtung Beratung und Planung
29202010;FLTILM;Fachkraft für Lebensmitteltechnik;Fachkraft für Lebensmitteltechnik
21212001-BK;AM-BK;Aufbereitungsmechaniker/Aufbereitungsmechanikerin ;Aufbereitungsmechaniker/Aufbereitungsmechanikerin - Fachrichtung Braunkohle
99999018;FSTe-UST-LT;FS Te Fr Umweltschutztechnik Sp Labortechnik;FS Te Fr Umweltschutztechnik Sp Labortechnik
99999061;FSAP-APH;FS Altenpflege Fr Altenpflegehelfer/-innen;FS Altenpflege Fr Altenpflegehelfer/-innen
26322010-HL;MTHIME;Mikrotechnologe/-technologin SP Halbleitertechnik;Mikrotechnologe/-technologin SP Halbleitertechnik
24412009-NB;MB-NB;Metallbauer/Metallbauerin - Fachrichtung Nutzfahrz;Metallbauer/Metallbauerin - Fachrichtung Nutzfahrzeugbau
28322006-RS;SA-RS;Sattler/Sattlerin - Fachrichtung Reitsportsattlere;Sattler/Sattlerin - Fachrichtung Reitsportsattlerei
73282712;VWHÖRV;Verwaltungsfachangestellte/r FR Handwerksorganisat;Verwaltungsfachangestellte/r FR Handwerksorganisation und Industrie- und Handelskammern Öffentlicher Dienst
92302320-DP;MKDHWM;Medienkaufmann/-kauffrau Digital und Print Handwer;Medienkaufmann/-kauffrau Digital und Print Handwerk
32202002-BS;TBFA-BS;Tiefbaufacharbeiter/Tiefbaufacharbeiterin - Schwer;Tiefbaufacharbeiter/Tiefbaufacharbeiterin - Schwerpunkt Brunnen- und Spezialtiefbauarbeiten
11712001;FOWI;Forstwirt/Forstwirtin;Forstwirt/Forstwirtin
21212006-ST;NWM-SLT;Naturwerksteinmechaniker/Naturwerksteinmechanikeri;Naturwerksteinmechaniker/Naturwerksteinmechanikerin - Fachrichtung Schleiftechnik
26322001-DS;MT-DS;Mikrotechnologe/Mikrotechnologin (+ duales Studium;Mikrotechnologe/Mikrotechnologin (+ duales Studium)
24202129;FMHMM;Fachkraft für Metalltechnik Industrie;Fachkraft für Metalltechnik Industrie
61142032;AFAIEH;Automatenfachmann/-fachfrau FR Automatendienstleis;Automatenfachmann/-fachfrau FR Automatendienstleistung
93512331;MBGTHPK;Metallbildner/in FR Gürtlertechnik;Metallbildner/in FR Gürtlertechnik
33212340;FMHAB;Fachpraktiker/in im Maler- und Lackiererhandwerk (;Fachpraktiker/in im Maler- und Lackiererhandwerk (§66 BBiG/§42r HwO)
93522370-EM;SSEHPK;Silberschmied/in SP Email Handwerk;Silberschmied/in SP Email Handwerk
12122002-SG;GÄ-SG;Gärtner/Gärtnerin - Fachrichtung Staudengärtnerei;Gärtner/Gärtnerin - Fachrichtung Staudengärtnerei
73312002-BA;FMI-BA;Fachangestellter für Medien- und Informationsdiens;Fachangestellter für Medien- und Informationsdienste/Fachangestellte für Medien- und Informationsdienste - Fachrichtung Bildagentur
24532010;UMIMM;Uhrmacher/in Industrie;Uhrmacher/in Industrie
94512003-AO;FKST-AO;Fachkraft für Veranstaltungstechnik - Schwerpunkt ;Fachkraft für Veranstaltungstechnik - Schwerpunkt Aufbau und Organisation
93612320;GBHPK;Geigenbauer/in;Geigenbauer/in
41422049;WPI;Werkstoffprüfer/in (ohne FR-Angabe) (Industrie);Werkstoffprüfer/in (ohne FR-Angabe) (Industrie)
34332070;FPKAIGV;Fachpraktiker/in für Kreislauf- und Abfallwirtscha;Fachpraktiker/in für Kreislauf- und Abfallwirtschaft
93642002-KB;KCB-KB;Klavier- und Cembalobauer/Klavier- und Cembalobaue;Klavier- und Cembalobauer/Klavier- und Cembalobauerin - Fachrichtung Klavierbau
63222001;HOFA;Hotelfachmann/Hotelfachfrau;Hotelfachmann/Hotelfachfrau
24413383-MG;MBDSMHMM;Metallbauer/in + duales Studium FR Metallgestaltun;Metallbauer/in + duales Studium FR Metallgestaltung Handwerk
71382010;WGIUO;Werkgehilfe/-gehilfin Schmuckwarenindustrie, Tasch;Werkgehilfe/-gehilfin Schmuckwarenindustrie, Taschen- und Armbanduhren
28222540;FPMSH;Fachpraktiker/in im Maßschneiderhandwerk (§42m HwO;Fachpraktiker/in im Maßschneiderhandwerk (§42m HwO)
22103343-MK;VKDSMH;Verfahrensmechaniker/in für Kunststoff- und Kautsc;Verfahrensmechaniker/in für Kunststoff- und Kautschuktech.+duales Studium FR Mehrschichtkautschukteile Handwerk
99999045;FSTe-ST-MG;FS Te Fr Schuhtechnik Sp Modellgestaltung;FS Te Fr Schuhtechnik Sp Modellgestaltung
23412351;DUDHPD;Drucker/in FR Digitaldruck Handwerk;Drucker/in FR Digitaldruck Handwerk
21222010-BF;BFFIRK;Betonfertigteilbauer/in SP Betonfertigteilbau;Betonfertigteilbauer/in SP Betonfertigteilbau
99999035;FSTe-KFZ;FS Te Fr Kraftfahrzeugtechnik;FS Te Fr Kraftfahrzeugtechnik
93522001;EMF;Edelsteinfasser/Edelsteinfasserin;Edelsteinfasser/Edelsteinfasserin
22342010;FKMIKH;Fachkraft für Möbel-, Küchen- und Umzugsservice;Fachkraft für Möbel-, Küchen- und Umzugsservice
93612002;GEB;Geigenbauer/Geigenbauerin;Geigenbauer/Geigenbauerin
83212610;HWLET;Hauswirtschafter/in Landwirtschaft;Hauswirtschafter/in Landwirtschaft
93522414;ESSSDH;Edelsteinschleifer/in FR Schmuckdiamantschleifen (;Edelsteinschleifer/in FR Schmuckdiamantschleifen (Handwerk)
93352001;KHW;Kerzenhersteller und Wachsbildner/Kerzenhersteller;Kerzenhersteller und Wachsbildner/Kerzenherstellerin und Wachsbildnerin
11312612;PWZLLF;Pferdewirt/in FR Pferdezucht;Pferdewirt/in FR Pferdezucht
12122001-BS;GÄ-BS;Gärtner/Gärtnerin - Fachrichtung Baumschule;Gärtner/Gärtnerin - Fachrichtung Baumschule
94532002;MGBT;Mediengestalter Bild und Ton/Mediengestalterin Bil;Mediengestalter Bild und Ton/Mediengestalterin Bild und Ton
34212370;FPAHGV;Fachpraktiker/in Anlagenmechanik für Sanitär-, Hei;Fachpraktiker/in Anlagenmechanik für Sanitär-, Heizungs- und Klimatechnik (§42r HwO)
22102053;VKMIKH;Verfahrensmechaniker/in für Kunststoff- und Kautsc;Verfahrensmechaniker/in für Kunststoff- und Kautschuktechnik FR Mehrschichtkautschukteile Industrie
24112004-NM;VT-NM;Verfahrenstechnologe Metall/Verfahrenstechnologin ;Verfahrenstechnologe Metall/Verfahrenstechnologin Metall - Fachrichtung Nichteisenmetallurgie
26312006;ITSE;IT-System-Elektroniker/IT-System-Elektronikerin (a;IT-System-Elektroniker/IT-System-Elektronikerin (auslaufender Beruf)
21222026;VMAIRK;Verfahrensmechaniker/in in der Steine- und Erdenin;Verfahrensmechaniker/in in der Steine- und Erdenindustrie FR Asphalttechnik
72122003-FB;KVF-FB;Kaufmann für Versicherungen und Finanzen/Kauffrau ;Kaufmann für Versicherungen und Finanzen/Kauffrau für Versicherungen und Finanzen - Fachrichtung Finanzberatung
94612002-PL;BM-PL;Bühnenmaler und -plastiker/Bühnenmalerin und -plas;Bühnenmaler und -plastiker/Bühnenmalerin und -plastikerin - Fachrichtung Plastik
33112010;FPIAB;Fliesen-, Platten- und Mosaikleger/in Industrie;Fliesen-, Platten- und Mosaikleger/in Industrie
24142001-GT;MGG-GT;Metall- und Glockengießer/Metall- und Glockengieße;Metall- und Glockengießer/Metall- und Glockengießerin - Fachrichtung Kunst- und Glockengusstechnik
27212010;BZTI;Bauzeichner/in;Bauzeichner/in
24112031;VTMES;Verfahrenstechnologe/in Metall FR Eisen- und Stahl;Verfahrenstechnologe/in Metall FR Eisen- und Stahlmetallurgie
32102020-MA;HFIHTMABB;Hochbaufacharbeiter/in SP Maurerarbeiten Industrie;Hochbaufacharbeiter/in SP Maurerarbeiten Industrie
27232333;TMAHFP;Technische/r Modellbauer/in FR Anschauung Handwerk;Technische/r Modellbauer/in FR Anschauung Handwerk
82522002-DS;AO-DS;Augenoptiker/Augenoptikerin (+ duales Studium);Augenoptiker/Augenoptikerin (+ duales Studium)
93532333;MBZHPK;Metallbildner/in FR Ziseliertechnik Handwerk;Metallbildner/in FR Ziseliertechnik Handwerk
43412041;FIAIIK;Fachinformatiker/in FR Anwendungsentwicklung Indus;Fachinformatiker/in FR Anwendungsentwicklung Industrie ausgelaufener Beruf
25212459;KUFFHM;Karosserie- und Fahrzeugbaumechaniker/in (ohne FR-;Karosserie- und Fahrzeugbaumechaniker/in (ohne FR-Angabe) Handwerk
34312320-IS;FRIHGV;Fachkraft für Rohr-, Kanal- und Industrieservice S;Fachkraft für Rohr-, Kanal- und Industrieservice SP Industrieservice Handwerk
33302001;ABF;Ausbaufacharbeiter/Ausbaufacharbeiterin;Ausbaufacharbeiter/Ausbaufacharbeiterin
24412005-KT;MB-KT;Metallbauer/Metallbauerin - Fachrichtung Konstrukt;Metallbauer/Metallbauerin - Fachrichtung Konstruktionstechnik
72302820-DS;SFFFRDS;Steuerfachangestellte/r + duales Studium;Steuerfachangestellte/r + duales Studium
51412010-VS;KVVIVL;Kaufmann/Kauffrau für Verkehrsservice SP Verkauf u;Kaufmann/Kauffrau für Verkehrsservice SP Verkauf und Service
24412001;FPMB;Fachpraktiker für Metallbau/Fachpraktikerin für Me;Fachpraktiker für Metallbau/Fachpraktikerin für Metallbau
27212015-VA;TSP-VA;Technischer Systemplaner/Technische Systemplanerin;Technischer Systemplaner/Technische Systemplanerin - Fachrichtung Versorgungs- und Ausrüstungstechnik
28242010;FZIHTL;Fahrzeuginnenausstatter/in;Fahrzeuginnenausstatter/in
93652312;OHPHPK;Orgel- und Harmoniumbauer/in FR Pfeifenbau Handwer;Orgel- und Harmoniumbauer/in FR Pfeifenbau Handwerk
73252001;JFA;Justizfachangestellter/Justizfachangestellte;Justizfachangestellter/Justizfachangestellte
61123311;MDBHEH;Mediengestalter/in Digital und Print FR Beratung u;Mediengestalter/in Digital und Print FR Beratung und Planung Handwerk
82512320;ORTHM;Orthopädietechnik-Mechaniker/in;Orthopädietechnik-Mechaniker/in
93522112;GSKIPK;Goldschmied/in FR Ketten Industrie;Goldschmied/in FR Ketten Industrie
28342020;PVITL;Pelzveredler/in;Pelzveredler/in
26122002-AS;EL-AS;Elektroniker/Elektronikerin - Fachrichtung Automat;Elektroniker/Elektronikerin - Fachrichtung Automatisierungs- und Systemtechnik
24412004-KT;FKM-KT;Fachkraft für Metalltechnik - Fachrichtung Konstru;Fachkraft für Metalltechnik - Fachrichtung Konstruktionstechnik
28242002;FZIM;Fahrzeuginterieur-Mechaniker/Fahrzeuginterieur-Mec;Fahrzeuginterieur-Mechaniker/Fahrzeuginterieur-Mechanikerin
92122720;SFKDMÖ;Servicefachkraft für Dialogmarketing Öffentlicher ;Servicefachkraft für Dialogmarketing Öffentlicher Dienst
11102002;FPLA;Fachpraktiker in der Landwirtschaft/Fachpraktikeri;Fachpraktiker in der Landwirtschaft/Fachpraktikerin in der Landwirtschaft
93232005-RD;RaR;Raumausstatter/Raumausstatterin - Schwerpunkt Raum;Raumausstatter/Raumausstatterin - Schwerpunkt Raumdekoration
62512010;BHIVB;Buchhändler/in;Buchhändler/in
28232340;SMHTL;Segelmacher/in;Segelmacher/in
11102003;HLA;Helfer in der Landwirtschaft/Helferin in der Landw;Helfer in der Landwirtschaft/Helferin in der Landwirtschaft
23422040;FPMIPD;Fachpraktiker/in für Medientechnologie Druckverarb;Fachpraktiker/in für Medientechnologie Druckverarbeitung (§66 BBiG)
93522310;ESTF;Edelsteinfasser/in;Edelsteinfasser/in
26123001;TEPD;Techniker/Technikerin für Produktionstechnik und D;Techniker/Technikerin für Produktionstechnik und Datenmanagement
29122320;WTH;Weintechnologe/-technologin (Handwerk);Weintechnologe/-technologin (Handwerk)
71402050;BÜIUO;Bürokaufmann/-kauffrau;Bürokaufmann/-kauffrau
26302350;SELIME;Systemelektroniker/in;Systemelektroniker/in
51312004;FPLB;Fachpraktiker im Lagerbereich/Fachpraktikerin im L;Fachpraktiker im Lagerbereich/Fachpraktikerin im Lagerbereich
33212008;MLFW;Malerfachwerker/Malerfachwerkerin;Malerfachwerker/Malerfachwerkerin
12101610;HGLGF;Helfer/in im Gartenbau (§66 BBiG);Helfer/in im Gartenbau (§66 BBiG)
11322002-PR;PW-PR;Pferdewirt/Pferdewirtin - Fachrichtung Pferderenne;Pferdewirt/Pferdewirtin - Fachrichtung Pferderennen
21222002;WSH;Werksteinhersteller/Werksteinherstellerin;Werksteinhersteller/Werksteinherstellerin
63302007-RS;FKGG-RS;Fachkraft für Gastronomie - Schwerpunkt Restaurant;Fachkraft für Gastronomie - Schwerpunkt Restaurantservice
11101610;TWLLF;Helfer/in in der Landwirtschaft / Landwirtschaftsh;Helfer/in in der Landwirtschaft / Landwirtschaftshelfer/in (§66 BBiG)
93352012-WB;WZWIPK;Wachszieher/in FR Wachsbildnerei Industrie;Wachszieher/in FR Wachsbildnerei Industrie
25232030;LBIMF;Leichtflugzeugbauer/in;Leichtflugzeugbauer/in
28222420-DH;MSDHTL;Maßschneider/in SP Damenschneiderei;Maßschneider/in SP Damenschneiderei
62102020;KEIVB;Kaufmann/Kauffrau im Einzelhandel;Kaufmann/Kauffrau im Einzelhandel
22102040-MO;VKIKH;Verfahrensmechaniker/in für Kunststoff- und Kautsc;Verfahrensmechaniker/in für Kunststoff- und Kautschuktechnik Industrie
26313360-DS;EITSDSHME;IT-System-Elektroniker/in + duales Studium Handwer;IT-System-Elektroniker/in + duales Studium Handwerk
33312050;WIIAB;Wärme-, Kälte- und Schallschutzisolierer/in Indust;Wärme-, Kälte- und Schallschutzisolierer/in Industrie
93522382;GSKHPK;Goldschmied/in FR Ketten Handwerk;Goldschmied/in FR Ketten Handwerk
93432311;GBCHPK;Glasbläser/in FR Christbaumschmuck;Glasbläser/in FR Christbaumschmuck
34332050;RWIGV;Recycling-Werker/in (§66 BBiG);Recycling-Werker/in (§66 BBiG)
93312010;HBIPK;Holzbildhauer/in Industrie;Holzbildhauer/in Industrie
93432011;GBCIPK;Glasbläser/in FR Christbaumschmuck;Glasbläser/in FR Christbaumschmuck
62512001;BUH;Buchhändler/Buchhändlerin;Buchhändler/Buchhändlerin
26222330;EMAHME;Elektroniker/in für Maschinen und Antriebstechnik ;Elektroniker/in für Maschinen und Antriebstechnik Handwerk
93652311;OHOHPK;Orgel- und Harmoniumbauer/in FR Orgelbau Handwerk;Orgel- und Harmoniumbauer/in FR Orgelbau Handwerk
24232250;FPZBBIG;Fachpraktiker/in für Zerspanungsmechanik;Fachpraktiker/in für Zerspanungsmechanik
62102050-VK;FPIVB;Fachpraktiker/in im Verkauf (§66 BBiG) Industrie;Fachpraktiker/in im Verkauf (§66 BBiG) Industrie
33352320;KOMHAB;Rollladen- und Sonnenschutzmechatroniker/in;Rollladen- und Sonnenschutzmechatroniker/in
25233322-IH;FMDSIHMF;Fluggerätmechaniker/in + duales Studium FR Instand;Fluggerätmechaniker/in + duales Studium FR Instandhaltungstechnik Handwerk
26122003-AT;ELAT;Elektroniker für Automatisierungstechnik/Elektroni;Elektroniker für Automatisierungstechnik/Elektronikerin für Automatisierungstechnik
82512001;OTM;Orthopädietechnik-Mechaniker/Orthopädietechnik-Mec;Orthopädietechnik-Mechaniker/Orthopädietechnik-Mechanikerin
25122001-DP;MAF-DP;Maschinen- und Anlagenführer/Maschinen- und Anlage;Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin - Schwerpunkt Druckweiter- und Papierverarbeitung
29302050-BK;FPKILM;Fachpraktiker/in Küche (Beikoch/Beiköchin) (§66 BB;Fachpraktiker/in Küche (Beikoch/Beiköchin) (§66 BBiG)
21362002;VMBO;Verfahrensmechaniker für Brillenoptik/Verfahrensme;Verfahrensmechaniker für Brillenoptik/Verfahrensmechanikerin für Brillenoptik
26322002-HAT;MT-HAT;Mikrotechnologe/Mikrotechnologin - Schwerpunkt Hal;Mikrotechnologe/Mikrotechnologin - Schwerpunkt Halbleitertechnik
25233041-FI;FMDSFIMF;Fluggerätmechaniker/in + duales Studium FR Fertigu;Fluggerätmechaniker/in + duales Studium FR Fertigungstechnik Industrie
33212012-EG;ML-EG;Maler und Lackierer/Malerin und Lackiererin - Fach;Maler und Lackierer/Malerin und Lackiererin - Fachrichtung Energieeffizienz- und Gestaltungstechnik
93522370-MT;SSMHPK;Silberschmied/in SP Metall Handwerk;Silberschmied/in SP Metall Handwerk
61212006-GH;KGA-GH;Kaufmann für Groß- und Außenhandelsmanagement/Kauf;Kaufmann für Groß- und Außenhandelsmanagement/Kauffrau für Groß- und Außenhandelsmanagement - Fachrichtung Großhandel
34232320;MKTHGV;Mechatroniker/in für Kältetechnik Handwerk;Mechatroniker/in für Kältetechnik Handwerk
62322320-FH;FVFHVB;Fachpraktiker/in für Fachverkauf im Lebensmittelha;Fachpraktiker/in für Fachverkauf im Lebensmittelhandwerk (§42r HwO) SP Fleischerei
54132320;TRHRB;Textilreiniger/in Handwerk;Textilreiniger/in Handwerk
32102002;HBFW;Hochbaufachwerker/Hochbaufachwerkerin;Hochbaufachwerker/Hochbaufachwerkerin
12102630;GFLGF;Gartenbaufachwerker/in (§66 BBiG);Gartenbaufachwerker/in (§66 BBiG)
28132310;SEHTL;Seiler/in;Seiler/in
73222001;KGW;Kaufmann im Gesundheitswesen/Kauffrau im Gesundhei;Kaufmann im Gesundheitswesen/Kauffrau im Gesundheitswesen
83212920;HWHET;Hauswirtschafter/in Handwerk;Hauswirtschafter/in Handwerk
25212080;KFWHMF;Kraftfahrzeugfachwerker/in;Kraftfahrzeugfachwerker/in
82312001;FPFR;Fachpraktiker für Friseur/Fachpraktikerin für Fris;Fachpraktiker für Friseur/Fachpraktikerin für Friseurin
22302004;HFW;Holzfachwerker/Holzfachwerkerin;Holzfachwerker/Holzfachwerkerin
32112001;B-32112001;Beton- und Stahlbetonbauer/Beton- und Stahlbetonba;Beton- und Stahlbetonbauer/Beton- und Stahlbetonbauerin
28322059;SAITL;Sattler/in (ohne FR-Angabe) Industrie;Sattler/in (ohne FR-Angabe) Industrie
28222001;ÄS;Änderungsschneider/Änderungsschneiderin;Änderungsschneider/Änderungsschneiderin
62302005;VKH-BH;Verkaufshelfer/Verkaufshelferin im Bäckerhandwerk;Verkaufshelfer/Verkaufshelferin im Bäckerhandwerk
21222010;BFTI;Betonfertigteilbauer/in;Betonfertigteilbauer/in
25212001;AFW;Autofachwerker/Autofachwerkerin;Autofachwerker/Autofachwerkerin
32122001;MA;Maurer/Maurerin;Maurer/Maurerin
28312030;FLGITL;Fachkraft für Lederherstellung und Gerbereitechnik;Fachkraft für Lederherstellung und Gerbereitechnik
24232003;WMSD;Werkzeugmaschinenspaner Drehen/Werkzeugmaschinensp;Werkzeugmaschinenspaner Drehen/Werkzeugmaschinenspanerin Drehen
11522001-TT;TP-TT;Tierpfleger/Tierpflegerin - Fachrichtung Tierheim ;Tierpfleger/Tierpflegerin - Fachrichtung Tierheim und Tierpension
23212382;MDKHPD;Mediengestalter/in Digital und Print FR Konzeption;Mediengestalter/in Digital und Print FR Konzeption und Visualisierung Handwerk
33322019;BBIAB;Bootsbauer/in (ohne FR-Angabe);Bootsbauer/in (ohne FR-Angabe)
28222320;ÄSHTL;Änderungsschneider/in;Änderungsschneider/in
24112002-ESM;VT-ESM;Verfahrenstechnologe Metall/Verfahrenstechnologin ;Verfahrenstechnologe Metall/Verfahrenstechnologin Metall - Fachrichtung Eisen- und Stahlmetallurgie
32132010;FSIHT;Feuerungs- und Schornsteinbauer/in Industrie;Feuerungs- und Schornsteinbauer/in Industrie
26312005;IE;Informationselektroniker/Informationselektronikeri;Informationselektroniker/Informationselektronikerin
72302002-DS;STFA-DS;Steuerfachangestellter/Steuerfachangestellte (+ du;Steuerfachangestellter/Steuerfachangestellte (+ duales Studium)
63212010;HKITH;Hotelkaufmann/-kauffrau;Hotelkaufmann/-kauffrau
27212001-AT;BZ-AT;Bauzeichner/Bauzeichnerin - Schwerpunkt Architektu;Bauzeichner/Bauzeichnerin - Schwerpunkt Architektur
99999044;FSTe-ST-BT;FS Te Fr Schuhtechnik Sp Betriebstechnik;FS Te Fr Schuhtechnik Sp Betriebstechnik
21332002-TB;TMM-TB;Thermometermacher/Thermometermacherin - Fachrichtu;Thermometermacher/Thermometermacherin - Fachrichtung Thermometerblasen
34312710;FAÖGV;Fachkraft für Abwassertechnik Öffentlicher Dienst;Fachkraft für Abwassertechnik Öffentlicher Dienst
32172010;BMAIHT;Bauwerksmechaniker/in für Abbruch und Betontrennte;Bauwerksmechaniker/in für Abbruch und Betontrenntechnik
28332002;SFE;Schuhfertiger/Schuhfertigerin;Schuhfertiger/Schuhfertigerin
27212082;TZHIFP;Technische/r Zeichner/in FR Heizungs-, Klima- und ;Technische/r Zeichner/in FR Heizungs-, Klima- und Sanitärtechnik
29232360;FPFHLM;Fachpraktiker/in für Fleischer/in (§42r HwO);Fachpraktiker/in für Fleischer/in (§42r HwO)
93542002-DR;SLhD;Schilder- und Lichtreklamehersteller/Schilder- und;Schilder- und Lichtreklamehersteller/Schilder- und Lichtreklameherstellerin - Schwerpunkt Druck
73322012;FMBIRV;Fachangestellte/r für Medien- und Informationsdien;Fachangestellte/r für Medien- und Informationsdienste FR Bibliothek Industrie
34332005-ABB;FKA-ABB;Fachkraft für Kreislauf- und Abfallwirtschaft - Sc;Fachkraft für Kreislauf- und Abfallwirtschaft - Schwerpunkt Abfallbeseitigung und -behandlung
93682310;HZHPK;Handzuginstrumentenmacher/in Handwerk;Handzuginstrumentenmacher/in Handwerk
21212007-STK;AM-STK;Aufbereitungsmechaniker/Aufbereitungsmechanikerin ;Aufbereitungsmechaniker/Aufbereitungsmechanikerin - Fachrichtung Steinkohle
28222003;FPMS;Fachpraktiker im Maßschneiderhandwerk/Fachpraktike;Fachpraktiker im Maßschneiderhandwerk/Fachpraktikerin im Maßschneiderhandwerk
71402350;BMHUO;Kaufmann/Kauffrau für Büromanagement Handwerk;Kaufmann/Kauffrau für Büromanagement Handwerk
72213935;FALF;Fachassistent/in Land- und Forstwirtschaft;Fachassistent/in Land- und Forstwirtschaft
61123021;MDBIEH;Mediengestalter/in Digital und Print FR Beratung u;Mediengestalter/in Digital und Print FR Beratung und Planung Industrie
22212001;FZLA;Fahrzeuglackierer/Fahrzeuglackiererin;Fahrzeuglackierer/Fahrzeuglackiererin
99999096;HBF_KMA;Staatl. gepr. kaufmännische/r Assistent/in;Staatl. gepr. kaufmännische/r Assistent/in
43232005-DS;KITS-DS;Kaufmann für IT-System-Management/Kauffrau für IT-;Kaufmann für IT-System-Management/Kauffrau für IT-System-Management (+ duales Studium)
93222010;GVMIPK;Gestalter/in für visuelles Marketing;Gestalter/in für visuelles Marketing
21342001;FGT;Flachglastechnologe/Flachglastechnologin;Flachglastechnologe/Flachglastechnologin
25112001;FME;Fertigungsmechaniker/Fertigungsmechanikerin;Fertigungsmechaniker/Fertigungsmechanikerin
34342310;AMHGV;Anlagenmechaniker/in Handwerk;Anlagenmechaniker/in Handwerk
28322339;SAHTL;Sattler/in (ohne FR-Angabe) Handwerk;Sattler/in (ohne FR-Angabe) Handwerk
54152330;FPH;Fahrzeugpfleger/in (§42r HwO) (24 Monate);Fahrzeugpfleger/in (§42r HwO) (24 Monate)
54152320;FPFPH;Fachpraktiker/in für Fahrzeugpflege (§42r HwO);Fachpraktiker/in für Fahrzeugpflege (§42r HwO)
32242310;BRUHHT;Brunnenbauer/in Handwerk;Brunnenbauer/in Handwerk
33132310;PLHAB;Parkettleger/in;Parkettleger/in
93422001;GPM;Glas- und Porzellanmaler/Glas- und Porzellanmaleri;Glas- und Porzellanmaler/Glas- und Porzellanmalerin
28322001;FKLV;Fachkraft für Lederverarbeitung;Fachkraft für Lederverarbeitung
27212010-IB;BZIIFP;Bauzeichner/in SP Ingenieurbau;Bauzeichner/in SP Ingenieurbau
82322310;KOSHNG;Kosmetiker/in Handwerk;Kosmetiker/in Handwerk
33322340;FPZHAB;Fachpraktiker/in im Zimmererhandwerk (§42r HwO);Fachpraktiker/in im Zimmererhandwerk (§42r HwO)
72112002-DS;BK-DS;Bankkaufmann/Bankkauffrau (+ duales Studium);Bankkaufmann/Bankkauffrau (+ duales Studium)
27212011-SM;TSP-SM;Technischer Systemplaner/Technische Systemplanerin;Technischer Systemplaner/Technische Systemplanerin - Fachrichtung Stahl- und Metallbautechnik
93652002-PB;OB-PB;Orgelbauer/Orgelbauerin - Fachrichtung Pfeifenbau;Orgelbauer/Orgelbauerin - Fachrichtung Pfeifenbau
23422004-BF;BUB-BF;Buchbinder/Buchbinderin  Buchfertigung (Serie);Buchbinder/Buchbinderin  Buchfertigung (Serie)
24522340-SM;SMMHMM;Schneidwerkzeugmechaniker/in ausgelaufener Beruf;Schneidwerkzeugmechaniker/in ausgelaufener Beruf
72113010-DS;BKDSIFR;Bankkaufmann/-kauffrau + duales Studium;Bankkaufmann/-kauffrau + duales Studium
24212040;SUMI;Stanz- und Umformmechaniker/in (Industrie);Stanz- und Umformmechaniker/in (Industrie)
11312001-PZ;PW-PZ;Pferdewirt/Pferdewirtin - Fachrichtung Pferdezucht;Pferdewirt/Pferdewirtin - Fachrichtung Pferdezucht
21332310;LGHRK;Leuchtröhrenglasbläser/in;Leuchtröhrenglasbläser/in
73202721;VWBÖRV;Verwaltungsfachangestellte/r FR Bundesverwaltung;Verwaltungsfachangestellte/r FR Bundesverwaltung
28102001;PMTE;Produktionsmechaniker-Textil/Produktionsmechaniker;Produktionsmechaniker-Textil/Produktionsmechanikerin-Textil
21112002-VG;BM-VG;Berg- und Maschinenmann/Berg- und Maschinenfrau - ;Berg- und Maschinenmann/Berg- und Maschinenfrau - Fachrichtung Vortrieb und Gewinnung
