schluessel;kurzform;anzeigeform;langform
43112340;KDMH;Kaufmann/Kauffrau für Digitalisierungsmanagement H;Kaufmann/Kauffrau für Digitalisierungsmanagement Handwerk
52182001;SFA;Servicefahrer/Servicefahrerin;Servicefahrer/Servicefahrerin
33302010-ST;AAIABST;Ausbaufacharbeiter/in SP Stukkateurarbeiten;Ausbaufacharbeiter/in SP Stukkateurarbeiten
93522111;GSJIPK;Goldschmied/in FR Juwelen Industrie;Goldschmied/in FR Juwelen Industrie
28222520;TMSHTL;Textil- und Modeschneider/in;Textil- und Modeschneider/in
43102032;FISI;Fachinformatiker/in FR Systemintegration Industrie;Fachinformatiker/in FR Systemintegration Industrie
29222021;FSDILM;Fachkraft für Süßwarentechnik FR Dauerbackwaren;Fachkraft für Süßwarentechnik FR Dauerbackwaren
22102011-KF;VKK-KF;Verfahrensmechaniker für Kunststoff- und Kautschuk;Verfahrensmechaniker für Kunststoff- und Kautschuktechnik/Verfahrensmechanikerin für Kunststoff- und Kautschuktechnik - Fachrichtung Kunststofffenster
24232004;WMWD;Werkzeugmaschinenwerker/Werkzeugmaschinenwerkerin ;Werkzeugmaschinenwerker/Werkzeugmaschinenwerkerin Drehen
24232440;FPZHWO;Fachpraktiker/in für Zerspanungsmechanik (§42r HwO;Fachpraktiker/in für Zerspanungsmechanik (§42r HwO)
93652011;OHOIPK;Orgel- und Harmoniumbauer/in FR Orgelbau Industrie;Orgel- und Harmoniumbauer/in FR Orgelbau Industrie
28222010-HS;MS-HE;Maßschneider/Maßschneiderin - Schwerpunkt Herren;Maßschneider/Maßschneiderin - Schwerpunkt Herren
26313170-DS;EITSDSIME;IT-System-Elektroniker/in + duales Studium Industr;IT-System-Elektroniker/in + duales Studium Industrie
93522090-EM;SSEIPK;Silberschmied/in SP Email Industrie;Silberschmied/in SP Email Industrie
99999093;HBF_ATA;Staatl. gepr. automat.-tech. Assistent/in;Staatl. gepr. automat.-tech. Assistent/in
24112312;VHNHMM;Verfahrensmechaniker/in in der Hütten- und Halbzeu;Verfahrensmechaniker/in in der Hütten- und Halbzeugindustrie FR Nichteisen-Metallurgie Handwerk
93522007-ID;ES-ID;Edelsteinschleifer/Edelsteinschleiferin - Fachrich;Edelsteinschleifer/Edelsteinschleiferin - Fachrichtung Industriediamantschleifen
82402710;BFKÖNG;Bestattungsfachkraft Öffentlicher Dienst;Bestattungsfachkraft Öffentlicher Dienst
43232002;ISIIHK;Kaufmann für IT-System-Management/Kauffrau für IT-;Kaufmann für IT-System-Management/Kauffrau für IT-System-Management (auslaufender Beruf)
29302005;TK;Teilkoch/Teilköchin;Teilkoch/Teilköchin
54112310;FHRHRB;Fachhelfer/in für Reinigungstechnik (§42r HwO);Fachhelfer/in für Reinigungstechnik (§42r HwO)
27212310-IBDS;BZIDSHFP;Bauzeichner/in SP Ingenieurbau + duales Studium;Bauzeichner/in SP Ingenieurbau + duales Studium
43102002-SI-DS;FI-SI-DS;Fachinformatiker/Fachinformatikerin - Fachrichtung;Fachinformatiker/Fachinformatikerin - Fachrichtung Systemintegration (+ duales Studium)
29302001;BKO;Beikoch/Beiköchin;Beikoch/Beiköchin
81302001;PF-GP;Pflegefachmann Generalistische Pflege/Pflegefachfr;Pflegefachmann Generalistische Pflege/Pflegefachfrau Generalistische Pflege
29112310;BRMHLM;Brauer/in und Mälzer/in Handwerk;Brauer/in und Mälzer/in Handwerk
28222140;TMNITL;Textil- und Modenäher/in;Textil- und Modenäher/in
25252332;ZMMHMF;Zweiradmechaniker/in FR Motorradtechnik (ausgelauf;Zweiradmechaniker/in FR Motorradtechnik (ausgelaufener Beruf)
92122001;FPDM;Fachpraktiker für Dialogmarketing/Fachpraktikerin ;Fachpraktiker für Dialogmarketing/Fachpraktikerin für Dialogmarketing
33302010-ZI;AAIABZI;Ausbaufacharbeiter/in SP Zimmerarbeiten;Ausbaufacharbeiter/in SP Zimmerarbeiten
23412330;SBHPD;Siebdrucker/in Handwerk;Siebdrucker/in Handwerk
33312003;WKSI;Wärme-, Kälte- und Schallschutzisolierer/Wärme-, K;Wärme-, Kälte- und Schallschutzisolierer/Wärme-, Kälte- und Schallschutzisoliererin
72302820;SFFFR;Steuerfachangestellte/r;Steuerfachangestellte/r
21412002;IKVT;Industriekeramiker Verfahrenstechnik/Industriekera;Industriekeramiker Verfahrenstechnik/Industriekeramikerin Verfahrenstechnik
21412001;IKAT;Industriekeramiker Anlagentechnik/Industriekeramik;Industriekeramiker Anlagentechnik/Industriekeramikerin Anlagentechnik
22102003-CM;VKK-CM;Verfahrensmechaniker für Kunststoff- und Kautschuk;Verfahrensmechaniker für Kunststoff- und Kautschuktechnik/Verfahrensmechanikerin für Kunststoff- und Kautschuktechnik - Fachrichtung Compound- und Masterbatchherstellung
28112001;PGT;Produktgestalter-Textil/Produktgestalterin-Textil;Produktgestalter-Textil/Produktgestalterin-Textil
25102310;IMHMF;Industriemechaniker/in Handwerk;Industriemechaniker/in Handwerk
34332710-AV;FKVÖGV;Fachkraft für Kreislauf- und Abfallwirtschaft SP A;Fachkraft für Kreislauf- und Abfallwirtschaft SP Abfallverwertung und -behandlung Öffentlicher Dienst
93232002-BO;RA-BO;Raumausstatter/Raumausstatterin - Schwerpunkt Bode;Raumausstatter/Raumausstatterin - Schwerpunkt Boden
24232160-DR;WMDIMM;Werkzeugmaschinenwerker/in Drehen (§66 BBiG) (24 M;Werkzeugmaschinenwerker/in Drehen (§66 BBiG) (24 Monate)
72132003;KVFA;Kaufmann für Versicherungen und Finanzanlagen/Kauf;Kaufmann für Versicherungen und Finanzanlagen/Kauffrau für Versicherungen und Finanzanlagen
24412090;MBIMM;Metallbearbeiter/in Schlosser (§66 BBiG) Industrie;Metallbearbeiter/in Schlosser (§66 BBiG) Industrie
43412002-AE;FI-AE;Fachinformatiker/Fachinformatikerin - Fachrichtung;Fachinformatiker/Fachinformatikerin - Fachrichtung Anwendungsentwicklung
99999095;HBF_SA;Staatl. gepr. Sozialassistent/in;Staatl. gepr. Sozialassistent/in
25212011-MT;KFZM-MT;Kraftfahrzeugmechatroniker/Kraftfahrzeugmechatroni;Kraftfahrzeugmechatroniker/Kraftfahrzeugmechatronikerin - Schwerpunkt Motorradtechnik
29302905;FKKÜ;Fachkraft Küche;Fachkraft Küche
22103347-KF;VKDSKH;Verfahrensmechaniker/in für Kunststoff- und Kautsc;Verfahrensmechaniker/in für Kunststoff- und Kautschuktechnik + duales Studium FR Kunststofffenster Handwerk
26252060;FPIEI36;Fachpraktiker/in für Industrieelektrik (§66 BBiG) ;Fachpraktiker/in für Industrieelektrik (§66 BBiG) (36 Monate)
23412120;FPDI;Fachpraktiker/in für Drucktechnik (§66 BBiG);Fachpraktiker/in für Drucktechnik (§66 BBiG)
24522004-ZW;PWM-ZW;Präzisionswerkzeugmechaniker/Präzisionswerkzeugmec;Präzisionswerkzeugmechaniker/Präzisionswerkzeugmechanikerin - Fachrichtung Zerspanwerkzeuge
93332321;DEDHPK;Drechsler/in (Elfenbeinschnitzer/in) FR Drechseln;Drechsler/in (Elfenbeinschnitzer/in) FR Drechseln
73312711;FMAÖRV;Fachangestellte/r für Medien- und Informationsdien;Fachangestellte/r für Medien- und Informationsdienste FR Archiv Öffentlicher Dienst
93542005-TE;SLH-TE;Schilder- und Lichtreklamehersteller/Schilder- und;Schilder- und Lichtreklamehersteller/Schilder- und Lichtreklameherstellerin - Schwerpunkt Technik, Montage, Werbeelektrik/-elektronik
41322070;PTKI;Prüftechnologe/in Keramik;Prüftechnologe/in Keramik
25122010-PV;MADIMF;Maschinen- und Anlagenführer/in SP Druckweiter- un;Maschinen- und Anlagenführer/in SP Druckweiter- und Papierverarbeitung
41422005-ST;WSP-ST;Werkstoffprüfer/Werkstoffprüferin - Fachrichtung S;Werkstoffprüfer/Werkstoffprüferin - Fachrichtung Systemtechnik
71302001;IK;Industriekaufmann/Industriekauffrau;Industriekaufmann/Industriekauffrau
73202726;VWLKÖRV;Verwaltungsfachangestellte/r FR Landes-/Kommunalve;Verwaltungsfachangestellte/r FR Landes-/Kommunalverwaltung (Zusammenfassung von FR nach §4 der AO)
24413020-DS;KOMDSI;Konstruktionsmechaniker/in + duales Studium Indust;Konstruktionsmechaniker/in + duales Studium Industrie
25233049-DS;FMDSIMF;Fluggerätmechaniker/in + duales Studium (ohne FR-A;Fluggerätmechaniker/in + duales Studium (ohne FR-Angabe) Industrie
99999058;FSEH-HTB;FS Ern/Hws Fr Hws Sp Hauswirt. Betriebsleiter/-in;FS Ern/Hws Fr Hws Sp Hauswirt. Betriebsleiter/-in
29112001;BKE;Brauer und Mälzer/Brauerin und Mälzerin;Brauer und Mälzer/Brauerin und Mälzerin
93232001;RAW;Raumausstatterwerker/Raumausstatterwerkerin;Raumausstatterwerker/Raumausstatterwerkerin
27212017-VA;TSP-VA;Technischer Systemplaner/Technische Systemplanerin;Technischer Systemplaner/Technische Systemplanerin - Fachrichtung Versorgungs- und Ausrüstungstechnik
21352001-TJ;TMM-TJ;Thermometermacher/Thermometermacherin - Fachrichtu;Thermometermacher/Thermometermacherin - Fachrichtung Thermometerjustieren
99999024;FSTe-BT-BS;FS Te Fr Bautechnik Sp Bausanierung;FS Te Fr Bautechnik Sp Bausanierung
93522381;GSJHPK;Goldschmied/in FR Juwelen Handwerk;Goldschmied/in FR Juwelen Handwerk
26123310-DS;EADSHME;Elektroniker/in für Automatisierungstechnik + dual;Elektroniker/in für Automatisierungstechnik + duales Studium Handwerk
21222004-BS;VSE-BS;Verfahrensmechaniker/Verfahrensmechanikerin in der;Verfahrensmechaniker/Verfahrensmechanikerin in der Steine- und Erdenindustrie - Fachrichtung Baustoffe
93352019-WZ;WZIPK;Wachszieher/in Industrie;Wachszieher/in Industrie
62312320;VHHVB;Verkaufshelfer/in im Bäckerhandwerk (§42r HwO);Verkaufshelfer/in im Bäckerhandwerk (§42r HwO)
51652011;SHKLIVL;Schifffahrtskaufmann/-kauffrau FR Linienfahrt;Schifffahrtskaufmann/-kauffrau FR Linienfahrt
11402610-SF;FWSLLF;Fischwirt/in FR Seen- und Flussfischerei (Beruf is;Fischwirt/in FR Seen- und Flussfischerei (Beruf ist ausgelaufen)
21222025;VMVIRK;Verfahrensmechaniker/in in der Steine- und Erdenin;Verfahrensmechaniker/in in der Steine- und Erdenindustrie FR Vorgefertigte Betonerzeugnisse
28342310;KÜHTL;Kürschner/in;Kürschner/in
29302030;KOILM;Koch/Köchin;Koch/Köchin
27212079;TSPIFP;Technische/r Systemplaner/in (ohne FR-Angabe);Technische/r Systemplaner/in (ohne FR-Angabe)
82342001;MAB;Maskenbildner/Maskenbildnerin;Maskenbildner/Maskenbildnerin
21212003-MT;NWM-MT;Naturwerksteinmechaniker/Naturwerksteinmechanikeri;Naturwerksteinmechaniker/Naturwerksteinmechanikerin - Fachrichtung Maschinenbearbeitungstechnik
99999054;FSWi-HW-HM;FS Wi Fr Hotelbetriebswirtschaft + Hotelmanagement;FS Wi Fr Hotelbetriebswirtschaft + Hotelmanagement
82402010;BFKING;Bestattungsfachkraft Industrie;Bestattungsfachkraft Industrie
62302007-FL;FPLH-FL;Fachpraktiker für Fachverkauf im Lebensmittelhandw;Fachpraktiker für Fachverkauf im Lebensmittelhandwerk/Fachpraktikerin für Fachverkauf im Lebensmittelhandwerk - Schwerpunkt Fleischerei
73212723;SOLÖRV;Sozialversicherungsfachangestellte/r FR Landwirtsc;Sozialversicherungsfachangestellte/r FR Landwirtschaftliche Sozialversicherung Öffentlicher Dienst
11212620;TWHRI;Tierwirtschaftshelfer/in FR Rinderhaltung (§66 BBi;Tierwirtschaftshelfer/in FR Rinderhaltung (§66 BBiG)
51322001;FKKEP;Fachkraft für Kurier-, Express- und Postdienstleis;Fachkraft für Kurier-, Express- und Postdienstleistungen
41322008-TV;TL-TV;Textillaborant/Textillaborantin - Schwerpunkt Text;Textillaborant/Textillaborantin - Schwerpunkt Textilveredlung
22302003;HFP;Holzfachpraktiker/Holzfachpraktikerin;Holzfachpraktiker/Holzfachpraktikerin
25252331;ZMFHMF;Zweiradmechaniker/in FR Fahrradtechnik (ausgelaufe;Zweiradmechaniker/in FR Fahrradtechnik (ausgelaufener Beruf)
29262003-KF;SWT;Süßwarentechnologe/Süßwarentechnologin;Süßwarentechnologe/Süßwarentechnologin
93612310;BOMHPK;Bogenmacher/in;Bogenmacher/in
73213722-DS;SODSSÖRV;Sozialversicherungsfachangestellte/r + duales Stud;Sozialversicherungsfachangestellte/r + duales Studium FR Knappschaftliche Sozialversicherung Handwerk
73212724;SORÖRV;Sozialversicherungsfachangestellte/r FR Gesetzlich;Sozialversicherungsfachangestellte/r FR Gesetzliche Rentenversicherung Öffentlicher Dienst
51322030;FKEIVL;Fachkraft für Kurier-, Express- und Postdienstleis;Fachkraft für Kurier-, Express- und Postdienstleistungen (auslaufender Beruf)
32242010;BRUIHT;Brunnenbauer/in Industrie;Brunnenbauer/in Industrie
32172001;BM-AB;Bauwerksmechaniker für Abbruch und Betontrenntechn;Bauwerksmechaniker für Abbruch und Betontrenntechnik/Bauwerksmechanikerin für Abbruch und Betontrenntechnik
12202001;FPFLO;Fachpraktiker in der Floristik/Fachpraktikerin in ;Fachpraktiker in der Floristik/Fachpraktikerin in der Floristik
21362003-DS;FO-DS;Feinoptiker/Feinoptikerin (+ duales Studium);Feinoptiker/Feinoptikerin (+ duales Studium)
33212390;MFHAB;Malerfachwerker/in (§42r HwO);Malerfachwerker/in (§42r HwO)
63122001;SFK;Sport- und Fitnesskaufmann/Sport- und Fitnesskauff;Sport- und Fitnesskaufmann/Sport- und Fitnesskauffrau
11322613;PWRLLF;Pferdewirt/in FR Klassische Reitausbildung;Pferdewirt/in FR Klassische Reitausbildung
24132002-MG;GM-MG;Gießereimechaniker/Gießereimechanikerin - Schwerpu;Gießereimechaniker/Gießereimechanikerin - Schwerpunkt Maschinenformguss
25232041;FMFIMF;Fluggerätmechaniker/in FR Fertigungstechnik;Fluggerätmechaniker/in FR Fertigungstechnik
41312003;PFK;Produktionsfachkraft Chemie;Produktionsfachkraft Chemie
42212001;SF;Schornsteinfeger/Schornsteinfegerin;Schornsteinfeger/Schornsteinfegerin
22112002-VT;MRV-VT;Mechaniker für Reifen- und Vulkanisationstechnik/M;Mechaniker für Reifen- und Vulkanisationstechnik/Mechanikerin für Reifen- und Vulkanisationstechnik - Fachrichtung Vulkanisationstechnik
34332006-AVB;FKA-AVB;Fachkraft für Kreislauf- und Abfallwirtschaft - Sc;Fachkraft für Kreislauf- und Abfallwirtschaft - Schwerpunkt Abfallverwertung und -behandlung
71402005;FBK;Fachangestellter für Bürokommunikation/Fachangeste;Fachangestellter für Bürokommunikation/Fachangestellte für Bürokommunikation
33352001;RSM;Rollladen- und Sonnenschutzmechatroniker/Rollladen;Rollladen- und Sonnenschutzmechatroniker/Rollladen- und Sonnenschutzmechatronikerin
99999006;FSAW-LBL1;FS Agrarwirtsch. Fr Landbau Sp Landwirt (1J);FS Agrarwirtsch. Fr Landbau Sp Landwirt (1J)
25222020;LBMIMF;Land- und Baumaschinenmechatroniker/in Industrie;Land- und Baumaschinenmechatroniker/in Industrie
